LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01000139,Barnet 041B,E02000064,Barnet 041,E09000003,Barnet,16.0,6.0,4.0,10.0,8.0,8.0,7.0,8.0,7.0,10.0,6.0
E01000140,Barnet 041C,E02000064,Barnet 041,E09000003,Barnet,10.0,12.0,9.0,5.0,6.0,7.0,11.0,8.0,9.0,14.0,9.0
E01000141,Barnet 039A,E02000062,Barnet 039,E09000003,Barnet,46.0,33.0,32.0,33.0,40.0,38.0,23.0,35.0,37.0,42.0,27.0
E01000142,Barnet 040B,E02000063,Barnet 040,E09000003,Barnet,4.0,2.0,1.0,3.0,6.0,11.0,2.0,6.0,5.0,14.0,12.0
E01000143,Barnet 041D,E02000064,Barnet 041,E09000003,Barnet,18.0,8.0,9.0,7.0,6.0,10.0,12.0,7.0,16.0,10.0,12.0
E01000144,Barnet 038C,E02000061,Barnet 038,E09000003,Barnet,7.0,10.0,8.0,18.0,9.0,7.0,9.0,11.0,15.0,18.0,12.0
E01000145,Barnet 037A,E02000060,Barnet 037,E09000003,Barnet,7.0,5.0,1.0,4.0,6.0,5.0,4.0,6.0,6.0,14.0,4.0
E01000146,Barnet 038D,E02000061,Barnet 038,E09000003,Barnet,38.0,25.0,21.0,26.0,31.0,25.0,34.0,32.0,22.0,22.0,25.0
E01000147,Barnet 030A,E02000053,Barnet 030,E09000003,Barnet,1.0,8.0,5.0,6.0,5.0,6.0,3.0,7.0,4.0,2.0,4.0
E01000148,Barnet 030B,E02000053,Barnet 030,E09000003,Barnet,15.0,10.0,17.0,27.0,23.0,15.0,24.0,21.0,16.0,14.0,8.0
E01000150,Barnet 036A,E02000059,Barnet 036,E09000003,Barnet,14.0,11.0,11.0,12.0,9.0,13.0,14.0,6.0,10.0,18.0,29.0
E01000151,Barnet 026B,E02000049,Barnet 026,E09000003,Barnet,32.0,18.0,22.0,19.0,24.0,15.0,24.0,24.0,23.0,10.0,13.0
E01000152,Barnet 026C,E02000049,Barnet 026,E09000003,Barnet,28.0,17.0,12.0,24.0,14.0,9.0,13.0,8.0,6.0,10.0,11.0
E01000153,Barnet 026D,E02000049,Barnet 026,E09000003,Barnet,18.0,20.0,19.0,14.0,20.0,16.0,19.0,16.0,11.0,8.0,15.0
E01000154,Barnet 026E,E02000049,Barnet 026,E09000003,Barnet,9.0,9.0,9.0,18.0,6.0,12.0,12.0,11.0,7.0,4.0,8.0
E01000155,Barnet 030D,E02000053,Barnet 030,E09000003,Barnet,12.0,3.0,14.0,8.0,32.0,22.0,29.0,29.0,38.0,26.0,29.0
E01000156,Barnet 022A,E02000045,Barnet 022,E09000003,Barnet,8.0,10.0,7.0,14.0,12.0,10.0,7.0,7.0,7.0,4.0,6.0
E01000157,Barnet 022B,E02000045,Barnet 022,E09000003,Barnet,4.0,6.0,4.0,5.0,8.0,7.0,8.0,4.0,7.0,2.0,4.0
E01000158,Barnet 015A,E02000038,Barnet 015,E09000003,Barnet,7.0,10.0,5.0,5.0,9.0,14.0,17.0,12.0,8.0,8.0,4.0
E01000159,Barnet 015B,E02000038,Barnet 015,E09000003,Barnet,16.0,8.0,14.0,12.0,3.0,9.0,3.0,8.0,10.0,8.0,7.0
E01000160,Barnet 015C,E02000038,Barnet 015,E09000003,Barnet,21.0,11.0,19.0,19.0,26.0,19.0,24.0,21.0,17.0,18.0,9.0
