LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21
E01003435,Merton 014E,E01003435,Merton 014E,U,E09000024,Merton,1312,2124,0.82178
E01003436,Merton 023B,E01003436,Merton 023B,U,E09000024,Merton,1565,1742,0.21644
E01003437,Merton 022C,E01003437,Merton 022C,U,E09000024,Merton,1879,2031,0.39066
E01003438,Merton 024A,E01003438,Merton 024A,U,E09000024,Merton,1691,1827,0.1937
E01003439,Merton 023C,E01003439,Merton 023C,U,E09000024,Merton,1439,1590,0.36319
E01003440,Merton 022D,E01003440,Merton 022D,U,E09000024,Merton,1536,1669,0.45524
E01003441,Merton 022E,E01003441,Merton 022E,U,E09000024,Merton,1858,1898,0.21902
E01003442,Merton 010A,E01003442,Merton 010A,U,E09000024,Merton,1691,1682,0.25031
E01003443,Merton 010B,E01003443,Merton 010B,U,E09000024,Merton,1564,1630,0.2214
E01003444,Merton 010C,E01003444,Merton 010C,U,E09000024,Merton,1557,1611,0.26364
E01003359,Merton 006A,E01003359,Merton 006A,U,E09000024,Merton,1733,1748,0.16962
E01003445,Merton 010D,E01003445,Merton 010D,U,E09000024,Merton,1713,1808,0.47631
E01003360,Merton 006B,E01003360,Merton 006B,U,E09000024,Merton,1687,1788,0.13776
E01003633,Newham 020C,E01003633,Newham 020C,U,E09000025,Newham,1871,1857,0.0963
E01003619,Newham 012D,E01003619,Newham 012D,U,E09000025,Newham,2264,2483,0.2541
E01003673,Redbridge 007F,E01003673,Redbridge 007F,U,E09000026,Redbridge,1778,1917,0.19745
E01003501,Newham 030B,E01003501,Newham 030B,U,E09000025,Newham,2040,2355,0.15839
E01003621,Newham 023C,E01003621,Newham 023C,U,E09000025,Newham,1667,1652,0.06705
E01003725,Redbridge 003C,E01003725,Redbridge 003C,U,E09000026,Redbridge,1498,1760,0.15123
E01003634,Newham 020D,E01003634,Newham 020D,U,E09000025,Newham,1805,1751,0.14521
E01003761,Redbridge 009C,E01003761,Redbridge 009C,U,E09000026,Redbridge,1771,1824,0.1044
E01003446,Merton 016C,E01003446,Merton 016C,U,E09000024,Merton,1668,1964,0.23911
E01003361,Merton 015A,E01003361,Merton 015A,U,E09000024,Merton,1646,1672,0.21037
E01003447,Merton 016D,E01003447,Merton 016D,U,E09000024,Merton,1545,1608,0.40228
E01003362,Merton 021A,E01003362,Merton 021A,U,E09000024,Merton,1323,1382,0.42447
E01003448,Merton 023D,E01003448,Merton 023D,U,E09000024,Merton,1701,2301,0.19999
E01003363,Merton 021B,E01003363,Merton 021B,U,E09000024,Merton,1638,1698,0.46318
E01003449,Merton 024B,E01003449,Merton 024B,U,E09000024,Merton,1759,1873,0.2999
E01003364,Merton 021C,E01003364,Merton 021C,U,E09000024,Merton,1731,1817,0.22022
E01003365,Merton 021D,E01003365,Merton 021D,U,E09000024,Merton,1409,1486,0.33557
E01003450,Merton 024C,E01003450,Merton 024C,U,E09000024,Merton,1611,1798,0.22564
E01003366,Merton 016A,E01003366,Merton 016A,U,E09000024,Merton,1502,1736,0.57029
E01003451,Merton 024D,E01003451,Merton 024D,U,E09000024,Merton,1666,1943,0.57254
E01003368,Merton 008A,E01003368,Merton 008A,U,E09000024,Merton,1586,1672,0.14843
E01003452,Merton 024E,E01003452,Merton 024E,U,E09000024,Merton,1982,2226,0.33859
