MSOA21CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E02000433,2.225,25.514,2.8,1.336,2.476
E02000434,2.701,15.945,3.138,0.784,2.954
E02000435,2.474,20.395,3.012,1.036,2.863
E02000436,2.164,30.93,2.631,0.929,2.446
E02000437,2.644,26.398,3.673,2.085,3.261
E02000438,2.437,27.762,3.661,1.877,3.261
E02000439,3.057,28.593,3.589,1.333,3.324
E02000440,2.791,14.112,3.408,0.863,3.221
E02000441,2.168,21.711,2.647,1.109,2.428
E02000442,3.048,14.925,3.707,0.994,3.488
E02000443,3.269,23.165,3.779,1.412,3.48
E02000444,3.098,40.659,3.807,1.642,3.449
E02000445,3.211,26.305,4.039,1.516,3.721
E02000447,2.939,13.291,3.446,0.536,3.32
E02000448,2.566,11.209,2.906,0.63,2.77
E02000449,3.366,42.7,4.094,2.322,3.634
E02000451,2.717,17.059,3.318,0.955,3.12
E02000452,3.142,48.128,4.009,2.355,3.509
E02000453,3.033,25.389,3.56,1.42,3.247
E02000454,2.586,8.578,3.021,0.522,2.945
E02000455,3.171,28.83,4.258,1.979,3.724
E02000456,3.06,26.743,3.486,1.147,3.26
E02000457,2.888,13.315,3.383,0.7,3.248
E02000459,3.13,28.312,3.811,1.342,3.565
E02000460,3.32,12.728,3.882,0.839,3.687
E02000461,3.087,37.862,3.747,2.015,3.346
E02000462,3.289,24.487,4.129,1.589,3.784
E02000463,3.568,10.237,4.067,0.525,3.967
E02006795,3.008,12.683,3.489,0.508,3.423
E02006882,3.374,25.871,4.03,1.136,3.796
E02000464,1.681,49.047,2.56,4.154,1.807
E02000465,1.738,75.71,3.056,4.597,2.039
E02000466,1.697,11.768,1.989,0.371,1.887
E02000467,1.951,8.825,2.269,0.445,2.173
E02000468,1.806,29.599,2.16,0.677,2.016
E02000469,2.006,32.326,2.683,1.914,2.271
E02000470,1.711,75.356,2.55,3.363,1.916
E02000471,2.071,46.814,2.894,2.231,2.51
E02000472,2.332,103.142,3.18,2.798,2.671
E02000473,1.829,21.269,2.556,1.14,2.301
E02000474,2.322,55.847,3.152,2.561,2.652
E02000475,2.241,31.555,2.827,1.574,2.504
E02000476,2.419,124.424,4.619,6.278,3.342
E02000477,2.335,14.724,2.743,0.642,2.595
E02000478,1.832,11.902,2.231,0.485,2.159
E02000479,2.552,60.474,3.942,3.257,3.197
E02000480,2.617,70.905,3.354,2.288,2.858
E02000481,1.211,62.142,2.506,3.895,1.777
E02000482,1.829,9.848,2.099,0.578,1.964
E02000483,2.147,18.607,2.8,1.183,2.504
E02000484,2.376,21.515,3.064,1.399,2.791
E02000485,1.87,18.949,2.396,0.985,2.214
E02000486,2.269,9.102,2.674,0.67,2.52
E02000487,1.637,46.22,2.131,2.154,1.881
E02000488,2.095,6.383,2.369,0.286,2.332
E02000489,2.126,20.898,2.928,1.262,2.807
E02000490,2.229,21.596,2.856,1.14,2.669
E02000491,2.448,36.539,3.555,1.823,3.105
E02000492,1.874,76.71,2.736,1.738,2.335
E02000493,2.277,23.558,2.947,0.846,2.843
E02000494,1.729,23.834,2.124,0.761,1.996
E02000495,1.973,22.104,2.551,1.153,2.331
E02000496,1.53,8.221,1.813,0.269,1.755
E02000497,2.114,27.994,2.808,1.025,2.673
E02000498,1.864,11.758,2.342,0.584,2.273
E02000499,2.612,9.331,3.097,0.59,2.998
E02000500,2.12,30.552,2.976,1.356,2.778
E02000501,2.787,11.048,3.292,0.475,3.18
E02000502,2.311,56.336,3.478,2.485,2.934
E02000503,2.919,20.576,4.064,1.518,3.698
E02000504,2.106,29.96,2.931,1.451,2.686
E02000506,1.853,114.54,3.302,3.704,2.727
E02000507,2.764,80.725,4.075,4.269,3.086
E02000508,2.451,29.64,3.24,1.686,2.851
E02000509,2.253,31.281,3.107,1.614,2.73
E02000510,2.595,38.504,3.401,1.752,2.998
E02000511,2.919,16.62,3.316,0.656,3.228
E02000512,2.769,28.541,3.536,1.479,3.228
E02000513,3.148,8.772,3.533,0.55,3.422
E02000514,3.148,42.592,3.696,1.456,3.424
E02000515,2.277,17.688,2.841,1.049,2.674
E02000516,3.344,51.782,3.946,1.604,3.551
E02000517,3.263,37.804,4.253,2.1,3.648
E02000518,2.795,25.507,4.348,1.755,3.991
E02000519,3.324,27.513,4.408,2.255,3.86
E02000520,3.296,50.739,4.291,2.189,3.925
E02000521,3.122,68.186,4.524,4.074,3.587
E02000522,2.486,36.098,3.46,1.957,3.068
E02000523,3.354,63.408,5.137,3.614,4.252
E02000524,2.473,177.441,4.143,4.094,3.356
E02000525,3.111,47.111,4.574,3.924,3.6
E02006796,3.148,94.981,7.975,7.751,5.475
E02000526,4.736,172.149,10.319,18.865,6.044
E02000529,3.489,38.205,4.642,2.214,3.976
E02000530,3.578,86.12,5.478,5.515,4.127
E02000531,3.454,103.252,6.585,6.608,5.215
E02000532,3.745,115.529,5.909,8.501,4.361
E02000533,3.786,116.056,5.967,7.494,4.512
