MSOA21CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E02000685,36.584,168.752,40.864,8.772,38.612
E02000686,32.243,149.081,37.06,7.782,35.688
E02000687,35.484,157.701,41.156,9.808,38.516
E02006783,33.199,104.432,36.4,5.207,35.074
E02006784,32.047,223.96,37.538,10.294,35.18
E02006798,42.572,346.034,50.459,18.54,45.947
E02007008,39.918,166.118,50.8,18.871,44.729
E02007009,37.513,167.392,45.753,13.367,42.057
E02000689,35.986,167.695,40.385,7.237,38.899
E02000690,33.698,114.651,36.321,3.858,35.406
E02000691,37.332,128.74,42.883,9.029,40.275
E02000692,36.204,184.697,41.203,8.596,39.034
E02000693,37.289,164.654,43.449,13.137,39.641
E02000694,37.688,191.33,43.424,11.881,40.095
E02000695,36.925,108.021,40.4,6.623,38.986
E02000696,36.735,113.694,40.541,7.658,38.551
E02000697,35.6,145.156,43.028,11.495,39.768
E02000698,34.881,137.335,39.929,8.478,37.489
E02000699,34.963,141.359,41.115,9.702,38.603
E02000700,35.116,178.548,40.97,10.724,38.121
E02000701,36.997,269.614,45.462,16.695,40.636
E02000702,35.835,182.048,40.926,9.941,38.321
E02000703,34.884,159.859,39.501,9.406,37.299
E02000704,33.92,206.747,44.167,14.746,39.924
E02000705,35.475,86.125,38.436,4.339,37.424
E02000706,35.395,268.653,41.561,13.478,38.272
E02000707,35.164,117.03,37.924,5.896,36.658
E02000708,31.828,151.433,39.471,13.458,35.772
E02000709,32.214,88.819,35.332,3.473,34.855
E02000710,33.362,236.52,40.336,12.751,36.823
E02000711,34.061,220.746,42.63,15.109,37.96
E02000712,32.504,146.766,37.013,6.717,35.393
E02000713,31.273,126.444,35.023,5.328,33.903
E02000714,38.73,111.7,43.198,6.321,41.586
E02000715,37.975,216.366,44.57,14.735,40.642
E02000716,35.948,185.141,40.234,7.87,38.781
E02000717,38.033,180.816,44.307,15.023,40.73
E02000718,37.819,230.984,48.488,21.398,41.555
E02000719,39.341,92.925,42.551,3.71,41.719
E02000720,37.627,128.537,43.117,7.554,41.499
E02000721,41.096,132.504,46.467,9.798,43.604
E02000722,41.434,108.022,45.708,7.409,43.823
E02000723,37.981,162.995,41.258,7.787,39.652
E02000724,38.203,87.727,40.361,3.808,39.577
E02000725,42.333,248.597,52.07,16.143,47.199
E02000727,40.132,98.951,43.738,6.032,42.023
E02000728,38.057,150.373,45.717,17.653,40.919
E02000729,40.366,101.37,43.746,6.09,42.078
E02000730,40.141,89.363,43.593,5.255,42.084
E02000731,39.681,314.42,46.351,19.856,42.316
E02000732,39.582,157.489,42.252,7.345,41.101
E02000733,41.72,184.543,48.411,11.472,45.163
E02000734,41.638,156.145,47.98,10.987,44.794
E02000735,39.875,223.538,43.482,11.468,41.754
E02000736,39.172,328.972,54.469,28.658,44.005
E02000737,39.164,156.857,42.91,8.74,41.088
E02000738,40.158,156.49,43.138,12.501,41.253
E02000739,41.905,157.677,47.961,11.413,44.599
E02000740,41.103,98.846,44.255,4.252,43.412
E02000741,40.907,222.774,45.899,13.447,43.276
E02000742,40.458,279.101,52.555,22.512,46.306
E02000743,42.174,476.532,57.926,38.805,47.127
E02000744,42.638,285.004,61.65,33.487,50.169
E02000745,40.838,285.829,54.386,26.02,46.455
E02000746,33.931,287.125,43.178,15.787,39.498
E02000747,41.547,436.393,52.452,25.792,46.537
E02000748,39.593,97.288,43.535,5.164,42.211
E02000749,40.762,285.526,46.778,14.089,43.931
E02006995,41.258,204.341,46.839,17.067,42.939
E02006996,41.483,222.145,46.402,10.294,43.65
E02006997,42.179,248.299,47.405,11.469,44.462
E02006998,36.425,96.452,42.208,4.783,41.594
E02006999,41.096,128.611,45.656,9.242,43.244
E02000751,30.483,189.33,36.769,9.618,34.374
E02000752,25.13,107.94,28.762,5.17,27.946
E02000753,28.268,64.14,30.8,3.011,30.211
E02000754,30.935,128.297,36.171,6.178,35.389
E02000755,32.394,193.135,46.219,18.504,39.636
E02000756,28.829,128.801,33.382,5.784,32.268
E02000757,35.805,237.968,49.058,20.913,42.226
E02000758,32.464,119.459,35.986,4.595,35.03
E02000759,35.052,235.719,49.171,18.658,42.242
E02000760,31.995,117.749,35.905,6.076,34.442
E02000762,33.443,117.132,40.686,10.121,37.855
E02000763,27.472,189.66,31.578,7.332,30.054
E02000764,36.512,203.21,43.173,10.091,40.336
E02000765,33.794,127.537,40.435,10.448,37.198
E02000767,33.608,218.824,39.894,11.635,36.661
E02000768,35.813,233.017,49.242,25.896,40.298
E02000770,31.776,158.497,38.406,10.906,35.967
E02000772,31.699,118.703,36.328,8.73,33.917
E02000773,34.276,210.331,42.284,13.873,38.357
E02000774,32.522,105.986,36.946,7.561,34.836
E02000776,35.188,146.528,39.787,8.57,37.665
E02000777,35.687,137.926,39.208,6.168,37.787
E02000779,36.986,157.863,46.458,15.142,41.832
E02000781,33.553,119.341,37.166,5.722,35.971
E02000782,37.518,369.508,57.095,30.533,46.339
E02000783,35.634,88.316,40.726,5.653,39.702
E02006800,32.165,148.124,37.914,8.436,35.931
E02006924,34.667,328.128,45.957,19.241,40.058
