LSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E01001109,5.167,23.805,6.141,1.447,5.887
E01001110,6.471,35.84,8.601,4.398,7.252
E01001111,5.471,19.119,6.186,1.768,5.745
E01001112,5.124,16.864,5.709,1.177,5.426
E01001113,5.498,16.188,5.97,1.267,5.702
E01001114,5.544,29.681,6.548,2.865,5.81
E01001115,5.568,14.379,6.191,0.987,5.961
E01001116,5.728,33.889,7.595,4.183,6.241
E01001118,5.936,44.464,7.641,3.514,6.839
E01001119,3.306,4.069,3.488,0.126,3.449
E01001120,3.557,16.88,3.921,1.025,3.764
E01001121,3.182,14.086,3.455,0.394,3.416
E01001122,3.853,20.054,4.304,1.194,4.079
E01001123,3.73,16.903,3.966,0.763,3.861
E01001124,3.708,17.496,3.951,0.695,3.873
E01001125,3.606,20.171,4.41,1.731,4.007
E01001126,3.613,16.279,3.881,0.71,3.787
E01001127,4.021,9.599,4.205,0.282,4.167
E01001128,4.005,4.48,4.13,0.088,4.111
E01001129,4.156,6.565,4.326,0.147,4.302
E01001130,3.947,4.386,4.056,0.091,4.026
E01001131,4.651,5.259,4.847,0.124,4.828
E01001132,4.474,13.906,4.613,0.304,4.565
E01001133,4.364,27.048,5.025,2.03,4.599
E01001134,4.54,24.042,4.819,1.095,4.653
E01001135,4.09,35.841,4.999,2.635,4.424
E01001136,5.279,18.019,5.949,1.418,5.612
E01001137,5.36,33.272,6.558,2.784,5.784
E01001138,5.328,16.618,5.553,0.52,5.46
E01001139,5.46,18.857,6.047,1.537,5.664
E01001140,5.273,19.455,5.733,1.436,5.405
E01001141,5.358,7.398,5.536,0.195,5.48
E01001142,5.292,18.538,5.872,1.419,5.544
E01001143,5.148,26.29,6.082,2.573,5.514
E01001144,5.502,8.264,5.682,0.276,5.614
E01001145,5.208,19.719,6.493,2.046,5.867
E01001146,5.475,6.063,5.594,0.111,5.543
E01001147,5.355,30.791,6.126,2.367,5.683
E01001148,5.486,10.453,5.732,0.568,5.579
E01001149,5.498,19.538,6.076,1.573,5.743
E01001150,5.479,23.503,6.224,2.411,5.636
E01001151,5.402,32.711,6.475,3.512,5.647
E01001152,5.537,33.944,6.671,3.115,5.875
E01001153,5.53,24.452,6.209,2.064,5.737
E01001154,5.526,33.1,6.668,2.272,6.007
E01001155,5.699,32.032,7.051,3.04,6.141
E01001156,5.485,25.51,6.194,2.069,5.679
E01001157,5.31,29.064,5.669,0.975,5.547
E01001158,5.432,24.563,6.447,2.212,5.791
E01001159,5.398,35.145,6.119,2.399,5.681
E01001160,5.341,10.425,5.536,0.445,5.437
E01001161,5.266,9.364,5.408,0.193,5.354
