LSOA11CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E01001535,44.524,305.658,53.034,15.483,50.119
E01001536,38.653,260.07,47.763,18.115,43.141
E01001537,39.182,130.451,48.827,14.816,44.122
E01001538,38.657,135.309,44.056,9.688,41.219
E01001539,39.689,85.339,43.86,5.866,42.445
E01001540,38.121,86.248,44.232,8.616,41.663
E01001541,38.86,64.431,41.86,2.772,41.386
E01001542,40.239,116.152,46.31,9.885,43.332
E01001543,38.706,91.295,42.558,4.452,41.56
E01001544,39.571,207.19,49.792,16.77,45.147
E01001545,35.641,174.107,42.352,13.016,40.295
E01001546,35.93,174.914,41.53,9.335,40.101
E01001547,36.5,227.178,45.271,20.5,39.988
E01001548,36.857,156.862,42.749,13.558,39.374
E01001549,37.117,221.857,46.726,21.771,40.566
E01001550,38.21,211.935,45.452,17.487,41.577
E01001551,40.892,313.034,82.191,47.685,61.499
E01001552,41.343,325.254,75.697,45.488,59.082
E01001553,46.253,171.686,55.06,17.459,50.838
E01001554,49.409,206.262,60.442,22.105,55.25
E01001555,50.024,192.729,60.815,19.935,55.347
E01001556,46.604,161.136,52.992,10.946,51.233
E01001557,47.705,56.456,52.58,1.561,52.478
E01001558,54.028,381.98,86.447,55.911,65.452
E01001559,43.133,875.36,65.807,42.984,53.704
E01001560,48.894,298.586,68.327,33.526,57.767
E01001562,53.137,255.766,70.944,36.583,58.723
E01001563,45.336,133.651,54.665,13.002,50.234
E01001564,44.493,124.046,48.84,8.435,47.094
E01001565,45.518,89.755,50.002,6.695,48.087
E01001566,45.241,99.183,49.18,4.96,48.036
E01001567,42.55,97.016,47.351,6.721,45.355
E01001568,39.756,88.434,43.226,3.756,42.313
E01001569,41.62,150.895,50.931,12.716,47.169
E01001570,42.143,149.111,48.159,9.203,46.346
E01001571,44.256,90.351,49.135,6.653,47.158
E01001572,43.545,140.498,50.329,9.875,47.487
E01001573,45.256,149.52,54.005,13.545,49.674
E01001574,40.02,163.65,46.577,12.072,43.059
E01001575,45.399,179.65,54.307,15.843,50.041
E01001576,42.846,89.022,46.115,4.207,45.413
E01001577,44.093,193.568,50.135,13.374,47.452
E01001578,44.012,84.166,47.591,3.479,46.819
E01001579,42.161,88.817,46.911,6.797,45.596
E01001580,51.739,239.764,67.04,23.379,59.099
E01001581,54.028,260.385,82.793,37.462,68.191
E01001582,49.808,201.462,62.004,19.823,56.175
E01001583,49.993,277.05,71.106,32.855,60.405
E01001584,49.309,195.121,53.631,8.175,52.02
E01001585,50.915,130.627,56.682,7.194,54.686
E01001586,50.489,119.045,53.995,4.771,53.067
E01001587,50.573,71.7,53.701,3.473,52.727
E01001588,47.023,160.975,53.028,11.279,49.939
E01001589,49.849,79.421,54.49,3.982,53.314
E01001590,51.289,82.499,55.676,3.991,55.036
E01001591,50.295,165.865,58.826,16.356,53.894
E01001592,51.281,263.571,67.685,31.973,57.286
E01001593,52.741,340.69,71.37,33.039,60.729
E01001594,51.453,169.847,60.353,17.682,55.182
E01001595,48.253,153.031,56.09,12.044,53.654
E01001596,40.836,70.933,44.793,4.985,43.704
E01001597,44.915,184.221,58.997,19.238,52.267
E01001598,43.071,202.113,51.382,16.187,46.889
E01001599,41.961,210.257,51.227,16.803,46.222
E01001600,44.202,235.3,56.507,21.996,48.677
E01001601,41.143,139.982,51.399,14.626,47.391
E01001602,43.066,104.809,49.764,9.695,46.927
E01001603,42.956,94.008,47.427,5.479,45.951
E01001604,50.35,276.204,65.239,27.704,56.541
E01001605,42.702,248.652,49.729,21.698,45.35
E01001606,45.883,120.169,52.679,9.795,49.997
E01001607,49.256,156.911,56.102,11.721,52.695
E01001608,44.447,242.037,60.247,26.109,52.514
E01001609,49.844,264.291,68.693,35.619,55.95
E01001610,45.548,173.827,55.268,14.404,51.731
E01001611,49.197,172.109,56.468,14.979,52.478
E01001613,40.495,178.292,47.627,10.327,44.708
E01001614,41.026,248.203,53.391,25.807,46.229
E01001615,42.182,238.348,51.444,18.089,46.232
E01001617,40.798,116.701,47.756,9.979,44.566
E01001618,41.544,93.899,46.396,6.417,44.845
E01001619,41.129,112.16,47.677,8.447,45.669
E01001620,55.666,312.722,80.854,41.954,64.847
E01001621,53.07,240.389,70.355,30.276,59.126
E01001623,52.259,197.263,68.287,23.121,60.639
E01001624,49.846,151.403,55.065,12.524,52.474
E01001625,50.736,188.549,64.369,21.309,56.925
E01001629,48.493,274.778,69.204,33.871,58.187
E01001631,51.292,331.573,76.089,39.142,62.657
E01001632,48.522,76.621,53.207,5.54,51.415
E01001633,47.23,93.612,52.232,6.57,50.602
E01001634,48.37,65.49,51.281,2.698,50.86
E01001635,44.865,109.383,50.198,7.754,48.182
E01001636,46.247,80.092,50.258,4.117,49.494
E01001637,47.16,100.721,51.47,7.142,49.828
E01001638,56.396,132.05,61.219,8.303,58.962
E01001640,53.736,226.288,67.308,23.908,60.632
E01001641,53.061,252.916,70.464,26.936,62.096
E01001642,49.676,238.932,60.013,20.191,54.811
E01001644,57.849,293.983,84.07,41.972,67.792
E01001645,47.455,58.482,51.388,1.812,51.099
E01001646,47.508,147.74,54.433,12.214,51.415
E01001647,50.801,204.813,65.276,23.349,57.323
E01001648,46.428,205.99,51.528,12.234,49.004
E01001649,46.422,58.11,49.387,2.55,48.847
E01001650,50.489,146.902,57.074,11.309,53.616
E01001651,47.192,140.638,55.537,12.833,52.119
E01001652,50.572,279.569,68.473,29.774,57.279
E01001653,48.268,162.527,57.243,12.969,52.88
E01001654,47.216,104.918,53.139,5.798,52.634
E01001655,44.788,127.254,52.871,10.076,50.189
E01001656,49.872,56.933,52.433,1.36,52.207
E01001657,50.589,208.391,57.682,12.619,54.581
E01001658,51.459,186.506,61.433,16.84,56.979
E01001659,55.529,259.938,71.474,24.9,63.452
E01001660,52.929,264.864,74.944,34.542,63.265
E01001661,49.154,272.214,62.296,21.393,55.488
E01001662,54.422,239.257,67.804,24.986,60.519
E01001664,54.492,248.236,74.188,33.168,63.922
E01001665,54.647,399.248,84.527,46.99,67.812
E01001666,49.978,203.844,65.014,20.409,59.059
E01001667,50.646,527.393,77.079,43.016,64.472
E01001668,52.439,228.817,61.198,16.187,58.784
E01001669,40.727,95.972,47.143,6.849,45.311
E01001671,43.054,78.429,49.254,5.862,47.522
E01001672,41.639,80.816,45.674,4.603,43.544
E01001673,46.002,226.031,67.855,33.331,55.7
E01001674,44.211,216.779,48.496,8.266,47.373
E01001675,44.129,236.34,55.433,20.086,51.79
E01001676,46.001,203.379,60.98,26.626,52.038
E01001677,44.014,210.704,54.01,19.452,49.265
E01001678,41.359,77.307,45.631,3.956,45.194
E01001679,45.636,134.341,49.386,7.321,48.248
E01001680,42.21,100.767,45.932,4.27,45.167
E01001681,44.729,53.362,48.426,1.561,48.3
E01001682,41.966,164.982,48.884,10.886,46.218
E01001683,46.309,106.702,50.891,7.598,49.037
E01001684,41.138,110.185,44.301,6.305,42.703
