LSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01003684,15.553,16.091,15.697,0.091,15.666
E01003685,15.611,16.611,15.811,0.166,15.776
E01003686,15.501,30.833,16.794,2.683,15.788
E01003688,15.591,30.733,16.718,2.384,15.95
E01003689,15.815,46.707,18.274,4.075,16.976
E01003690,15.11,28.186,15.752,1.276,15.393
E01003691,15.529,30.512,17.872,3.351,16.573
E01003692,15.298,24.454,15.899,1.254,15.531
E01003693,15.344,32.23,17.507,3.207,16.297
E01003694,15.276,18.749,15.654,0.411,15.569
