LSOA11CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E01002018,15.58,18.602,15.705,0.214,15.67
E01002019,15.658,19.208,15.904,0.403,15.784
E01002020,15.542,19.25,15.834,0.447,15.696
E01002021,15.58,18.542,15.889,0.476,15.748
E01002022,15.613,18.671,15.963,0.475,15.788
E01002023,15.652,18.48,15.836,0.292,15.748
E01002024,15.746,18.243,15.907,0.315,15.829
E01002025,15.619,16.909,15.676,0.121,15.647
E01002026,15.785,18.55,16.08,0.513,15.903
E01002027,15.734,17.839,15.841,0.247,15.784
E01002028,15.744,18.46,16.029,0.454,15.855
E01002029,15.719,19.424,16.143,0.615,15.922
E01002030,15.701,20.26,16.021,0.508,15.862
E01002031,15.83,19.709,16.164,0.553,15.957
E01002032,15.74,19.147,16.03,0.579,15.842
E01002033,15.747,18.495,15.921,0.38,15.836
E01002034,15.493,19.433,15.785,0.534,15.615
E01002036,15.445,15.887,15.531,0.065,15.511
E01002037,15.323,20.908,15.61,0.506,15.492
E01002038,15.47,18.736,15.772,0.464,15.632
E01002039,15.449,15.989,15.54,0.109,15.506
E01002040,15.483,16.222,15.557,0.057,15.549
E01002041,15.54,16.865,15.651,0.162,15.62
E01002042,15.887,18.403,16.118,0.409,15.995
E01002043,15.879,19.265,16.146,0.467,15.982
E01002044,15.972,19.175,16.344,0.547,16.154
E01002045,15.828,18.581,16.013,0.333,15.919
E01002046,15.879,22.008,16.31,0.739,16.066
E01002047,15.947,18.614,16.196,0.468,16.061
E01002048,15.885,19.142,16.09,0.419,15.984
E01002049,15.864,18.822,16.064,0.358,15.959
E01002050,15.716,16.069,15.843,0.059,15.838
E01002051,15.834,20.496,16.404,0.88,16.107
E01002052,15.625,15.995,15.723,0.071,15.702
E01002053,15.95,19.572,16.142,0.284,16.071
E01002054,16.021,20.111,16.475,0.754,16.228
E01002055,15.851,21.115,16.232,0.721,16.046
E01002056,16.024,20.16,16.36,0.523,16.251
E01002057,16.01,16.818,16.159,0.153,16.107
E01002058,16.046,20.094,16.395,0.535,16.274
E01002059,15.85,16.99,15.928,0.092,15.906
E01002060,15.877,16.988,15.983,0.163,15.94
E01002061,15.923,17.368,16.091,0.206,16.025
E01002062,15.92,17.235,16.077,0.221,15.999
E01002063,15.991,18.458,16.184,0.33,16.103
E01002064,16.025,18.26,16.203,0.265,16.13
E01002065,16.088,18.213,16.374,0.285,16.278
E01002066,15.799,20.978,16.411,0.921,16.103
E01002067,15.794,18.022,16.03,0.375,15.895
E01002068,15.698,21.378,16.105,0.714,15.942
E01002069,15.798,22.865,16.306,0.848,15.956
E01002070,15.776,17.567,15.959,0.347,15.863
E01002071,15.837,20.776,16.651,1.06,16.226
E01002072,15.864,22.202,16.53,1.086,16.143
E01002073,15.846,20.488,16.125,0.635,15.965
E01002074,15.536,17.858,15.701,0.264,15.626
E01002075,15.478,20.101,15.816,0.686,15.606
E01002076,15.537,16.709,15.644,0.124,15.62
E01002077,15.632,18.469,15.96,0.587,15.767
E01002078,15.521,18.805,15.779,0.356,15.714
E01002079,15.561,15.84,15.645,0.044,15.64
E01002080,15.47,23.293,16.002,0.805,15.765
E01002081,15.757,20.401,16.279,0.867,15.953
E01002082,15.623,17.7,15.728,0.228,15.663
E01002083,15.723,17.556,15.855,0.267,15.786
E01002084,15.647,19.334,15.952,0.401,15.833
E01002085,15.788,19.71,16.107,0.511,15.948
E01002086,15.64,17.196,15.786,0.185,15.745
E01002087,15.802,17.961,16.084,0.416,15.934
E01002088,15.645,19.841,16.059,0.531,15.897
E01002089,15.63,15.787,15.672,0.031,15.662
E01002090,15.437,17.407,15.559,0.192,15.51
E01002091,15.497,18.831,15.755,0.412,15.646
E01002092,15.446,16.562,15.577,0.142,15.543
E01002093,15.556,19.606,15.939,0.698,15.669
E01002094,15.512,17.722,15.701,0.284,15.64
E01002095,15.508,18.479,15.843,0.471,15.704
E01002096,15.575,20.418,15.946,0.578,15.757
E01002097,15.639,18.081,15.969,0.459,15.814
E01002098,15.681,20.029,16.059,0.552,15.854
E01002099,15.595,18.216,15.863,0.378,15.769
E01002100,15.601,18.507,15.97,0.544,15.788
E01002101,15.459,17.793,15.558,0.161,15.546
E01002102,15.479,17.882,15.72,0.387,15.611
E01002103,15.622,18.592,15.885,0.439,15.75
E01002104,15.605,17.949,15.875,0.413,15.735
E01002105,15.714,20.538,16.176,0.696,15.918
E01002106,15.019,17.371,15.153,0.181,15.114
E01002107,15.094,17.771,15.197,0.198,15.159
E01002108,15.109,16.971,15.21,0.231,15.152
E01002109,14.999,18.416,15.234,0.373,15.118
E01002110,15.103,18.068,15.284,0.366,15.181
E01002111,15.022,17.873,15.262,0.384,15.154
E01002112,15.067,18.336,15.294,0.405,15.181
E01002113,15.047,17.129,15.146,0.149,15.124
E01002114,14.779,18.86,15.085,0.363,15.014
E01002115,15.048,17.861,15.142,0.188,15.113
E01002116,15.101,17.281,15.31,0.239,15.26
E01002117,15.117,20.029,15.327,0.373,15.222
E01002118,15.192,17.741,15.454,0.284,15.388
E01002119,15.281,18.651,15.578,0.402,15.456
E01002120,15.192,15.464,15.276,0.045,15.265
E01002121,15.194,16.551,15.364,0.185,15.306
E01002122,15.253,18.379,15.407,0.289,15.346
E01002123,15.298,19.769,15.553,0.494,15.402
E01002124,15.247,15.414,15.288,0.033,15.277
E01002125,15.274,16.478,15.427,0.174,15.368
E01002126,15.329,19.672,15.82,0.691,15.573
E01002127,15.28,18.673,15.451,0.332,15.363
E01002128,15.197,19.888,15.393,0.283,15.355
E01002129,15.199,20.943,15.69,0.621,15.531
E01002130,15.309,18.97,15.649,0.504,15.48
E01002131,15.279,15.795,15.362,0.082,15.342
E01002132,15.201,18.216,15.465,0.381,15.34
E01002133,15.214,17.385,15.344,0.231,15.29
E01002134,15.156,18.411,15.277,0.245,15.225
E01002135,15.181,18.339,15.464,0.398,15.332
E01002136,15.162,17.765,15.446,0.381,15.322
E01002137,15.161,19.181,15.436,0.464,15.291
E01002138,15.227,16.322,15.378,0.171,15.334
E01002139,14.954,17.851,15.2,0.405,15.064
E01002140,14.962,16.975,15.079,0.202,15.023
E01002141,15.011,15.713,15.121,0.104,15.089
E01002142,14.904,19.056,15.281,0.507,15.133
E01002143,14.953,16.766,15.081,0.17,15.033
E01002144,14.685,18.418,14.902,0.303,14.826
E01002145,14.896,17.906,15.13,0.344,15.051
E01002146,14.703,16.601,14.812,0.1,14.79
E01002147,14.773,17.269,14.876,0.238,14.824
E01002148,14.848,17.522,15.11,0.419,14.97
E01002149,14.74,15.437,14.888,0.112,14.86
E01002150,14.838,17.868,15.094,0.406,14.962
E01002151,14.896,17.722,15.173,0.366,15.074
E01002152,14.805,17.544,15.021,0.358,14.92
E01002153,15.059,17.878,15.257,0.305,15.167
E01002154,14.83,16.989,14.986,0.207,14.933
E01002155,14.87,16.911,15.022,0.229,14.966
E01002156,14.951,16.916,15.098,0.223,15.035
E01002157,15.039,17.637,15.268,0.344,15.174
E01002158,15.033,17.098,15.092,0.136,15.064
E01002159,15.072,17.199,15.193,0.23,15.137
E01002160,15.139,19.457,15.39,0.457,15.25
E01002161,15.056,17.92,15.33,0.368,15.223
E01002162,15.018,16.969,15.218,0.244,15.147
E01002163,15.067,16.492,15.232,0.238,15.163
E01002164,15.066,15.495,15.157,0.058,15.145
E01002165,15.266,18.833,15.513,0.476,15.377
E01002166,15.269,17.148,15.401,0.24,15.348
E01002167,15.226,17.629,15.497,0.369,15.373
E01002168,15.187,16.773,15.328,0.188,15.281
E01002169,15.267,19.197,15.569,0.599,15.39
E01002170,15.177,17.568,15.295,0.283,15.227
E01002171,15.236,20.594,15.467,0.459,15.347
E01002172,15.13,17.385,15.306,0.266,15.251
E01002173,15.152,16.577,15.27,0.188,15.222
E01002174,15.108,17.662,15.358,0.334,15.263
E01002175,15.185,19.353,15.379,0.384,15.281
E01002176,15.162,17.981,15.312,0.277,15.25
E01002177,15.095,16.896,15.19,0.16,15.153
E01002178,15.098,15.409,15.171,0.047,15.158
E01002179,15.192,19.69,15.62,0.557,15.4
E01002180,15.129,17.535,15.438,0.386,15.344
E01002181,15.06,17.353,15.256,0.239,15.205
E01002182,15.216,17.492,15.366,0.221,15.322
E01002183,15.155,17.718,15.319,0.288,15.248
E01002184,15.136,17.429,15.274,0.301,15.203
E01002185,14.807,17.613,14.974,0.318,14.894
E01002186,14.829,18.288,15.145,0.429,15.018
E01002187,14.792,17.689,14.998,0.344,14.917
E01002188,14.866,15.66,14.957,0.099,14.932
E01002189,14.92,17.239,15.102,0.205,15.047
E01002190,14.637,15.375,14.728,0.087,14.703
E01002191,14.966,16.181,15.075,0.147,15.04
E01002192,14.932,16.88,15.027,0.164,14.987
E01002193,14.999,17.306,15.22,0.327,15.11
E01002194,14.931,16.558,15.037,0.189,14.998
E01002195,14.99,16.438,15.14,0.224,15.068
E01002196,14.953,16.5,15.012,0.101,14.99
E01002197,15.091,15.53,15.144,0.048,15.133
E01002198,15.239,16.404,15.349,0.124,15.328
E01002199,15.132,16.557,15.316,0.247,15.228
E01002200,15.173,17.243,15.372,0.246,15.327
E01002201,15.091,16.913,15.245,0.212,15.196
E01002202,15.292,18.706,15.75,0.637,15.488
E01002203,15.157,17.862,15.444,0.459,15.279
E01002204,15.113,17.638,15.385,0.431,15.224
