LSOA21CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E01003483,11.793,102.761,18.766,15.479,13.25
E01003484,11.79,110.076,13.607,7.964,12.416
E01003485,10.976,20.621,12.127,1.636,11.72
E01003486,10.781,24.068,12.137,2.057,11.556
E01003487,10.731,32.379,11.826,3.274,11.115
E01003488,11.197,29.922,11.833,1.753,11.462
E01003489,11.285,15.668,11.727,0.69,11.529
E01003490,11.194,22.758,11.635,0.95,11.482
E01003491,11.296,30.868,12.118,1.924,11.686
E01003492,11.339,15.056,11.83,0.475,11.735
E01003494,11.174,12.828,11.569,0.296,11.494
E01003495,11.137,12.142,11.389,0.202,11.323
E01003496,11.586,26.194,12.367,1.782,11.885
E01003497,12.239,128.69,14.31,7.814,12.984
E01003498,11.591,20.373,12.545,1.449,12.106
E01003499,11.947,28.145,13.214,2.306,12.558
E01003500,11.594,29.78,12.544,1.474,12.242
E01003501,11.943,27.553,12.853,1.749,12.471
E01003502,12.485,89.697,16.45,8.802,14.064
E01003503,13.014,121.475,20.873,17.109,15.087
E01003506,12.225,22.951,13.311,2.033,12.723
E01003507,12.074,59.362,14.01,4.189,12.737
E01003508,12.515,85.428,19.629,15.108,14.293
E01003509,12.371,73.884,15.164,7.015,13.364
E01003511,12.628,14.622,13.279,0.408,13.231
E01003512,11.66,24.553,13.016,1.949,12.554
E01003513,11.089,26.787,12.175,1.9,11.578
E01003514,11.185,14.918,11.577,0.365,11.507
E01003515,11.398,28.036,12.383,1.749,11.871
E01003516,12.002,143.996,23.219,24.48,15.003
E01003517,12.005,145.0,17.488,13.426,13.275
E01003518,11.22,71.688,13.147,5.105,12.319
E01003519,11.866,14.45,12.765,0.545,12.646
E01003520,11.177,46.321,13.259,4.982,11.9
E01003521,11.365,38.973,14.22,4.746,12.617
E01003522,11.331,28.62,11.922,1.755,11.642
E01003523,11.206,40.434,13.414,4.358,12.055
E01003524,11.381,22.256,12.224,1.768,11.788
E01003525,11.472,48.352,14.91,5.341,12.675
E01003526,11.279,31.812,12.631,2.915,12.006
E01003527,11.162,30.172,11.537,1.422,11.3
E01003528,10.689,16.42,11.211,0.816,10.988
E01003529,11.003,27.744,12.55,3.341,11.422
E01003530,10.711,15.474,11.165,0.677,11.005
E01003531,10.906,35.713,12.031,2.829,11.288
E01003532,11.11,24.31,11.974,1.314,11.628
E01003533,11.101,28.31,12.058,2.148,11.486
E01003534,10.943,27.294,11.895,2.367,11.307
E01003535,10.983,154.283,20.195,19.071,12.889
E01003536,11.32,58.869,13.32,5.9,11.881
E01003537,10.995,23.752,11.49,0.966,11.293
E01003538,11.161,25.318,12.227,2.136,11.658
E01003539,11.259,103.365,14.389,10.762,11.848
E01003540,11.548,55.837,14.194,4.535,12.84
E01003541,11.733,81.245,14.39,7.835,12.432
E01003542,10.978,29.283,11.867,1.983,11.47
E01003543,10.613,24.189,11.806,1.965,11.248
E01003544,11.113,25.444,11.836,1.501,11.407
E01003545,11.088,20.529,11.735,1.276,11.4
E01003546,11.1,15.211,11.634,0.649,11.486
E01003547,10.367,11.906,10.857,0.285,10.826
E01003548,11.166,38.937,12.21,2.44,11.676
E01003549,11.401,39.37,13.098,3.049,11.996
E01003550,10.766,19.35,11.845,1.445,11.417
E01003551,11.478,30.83,13.323,3.522,12.194
E01003552,11.32,20.999,11.701,0.835,11.542
E01003553,11.614,32.392,13.209,3.263,12.221
E01003554,11.534,29.025,12.457,1.951,12.055
E01003555,10.87,33.777,11.71,2.074,11.309
E01003556,11.175,44.74,13.071,4.033,11.902
E01003557,11.445,24.141,11.951,0.92,11.745
E01003558,11.465,35.503,13.452,3.589,12.147
E01003559,11.876,36.016,13.568,2.757,12.815
E01003560,11.019,12.839,11.383,0.318,11.316
E01003561,11.113,25.354,12.432,2.352,11.764
