LSOA11CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E01002552,9.769,13.052,10.085,0.415,9.984
E01002553,9.811,12.758,10.072,0.361,10.004
E01002554,9.479,13.543,9.76,0.392,9.647
E01002555,9.993,12.616,10.231,0.252,10.161
E01002556,10.117,13.022,10.3,0.287,10.235
E01002557,9.983,14.682,10.362,0.461,10.228
E01002558,10.095,13.69,10.348,0.451,10.212
E01002559,9.607,15.192,10.035,0.493,9.91
E01002560,9.958,12.209,10.248,0.16,10.255
E01002561,9.924,10.244,10.023,0.08,9.999
E01002562,10.717,18.079,10.966,0.482,10.841
E01002563,10.441,15.61,11.194,0.885,10.864
E01002564,10.683,21.694,11.549,1.722,11.034
E01002565,10.596,20.282,11.753,1.572,11.138
E01002566,10.693,20.466,11.761,1.743,11.112
E01002567,10.497,12.114,10.708,0.223,10.663
E01002568,10.605,21.242,11.463,1.691,10.955
E01002569,10.926,29.564,12.681,3.341,11.384
E01002570,10.907,16.557,11.274,0.632,11.077
E01002571,10.51,15.689,11.029,0.572,10.879
E01002572,10.387,15.338,10.558,0.43,10.459
E01002573,10.786,14.691,11.073,0.484,10.947
E01002574,10.912,13.796,11.125,0.289,11.06
E01002575,10.955,24.342,11.967,2.02,11.293
E01002576,10.485,17.604,10.885,0.848,10.695
E01002577,10.561,21.25,11.293,1.456,10.885
E01002578,10.45,15.166,10.659,0.384,10.577
E01002579,10.393,14.444,10.568,0.321,10.503
E01002580,10.754,20.765,11.497,1.226,11.068
E01002581,10.495,18.416,11.165,1.148,10.839
E01002582,10.512,20.757,10.957,1.133,10.672
E01002583,10.13,16.242,10.634,0.777,10.386
E01002584,10.098,12.622,10.333,0.345,10.249
E01002585,10.309,16.627,10.886,0.907,10.542
E01002586,10.098,19.107,10.51,0.954,10.232
E01002587,10.152,17.134,10.642,0.687,10.409
E01002588,10.12,16.619,10.359,0.536,10.246
E01002589,10.079,15.101,10.291,0.421,10.169
E01002590,10.054,12.777,10.262,0.264,10.21
E01002591,9.914,10.271,10.032,0.061,10.025
E01002592,10.024,15.58,10.34,0.45,10.227
