LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01032777,31.382,83.33,40.132,9.508,36.829
E01032779,33.024,69.257,37.854,7.213,35.07
E01032780,29.382,85.349,33.365,7.065,30.844
E01032781,29.603,34.537,30.365,0.953,30.001
E01032782,29.97,39.702,31.415,1.765,30.76
E01032783,28.921,34.202,29.832,0.937,29.605
E01032784,30.197,39.761,31.174,1.645,30.688
E01032785,30.466,49.746,31.765,2.872,30.704
E01032786,31.444,53.04,33.08,2.848,32.072
E01032787,31.928,49.655,33.201,2.13,32.586
E01032788,29.477,40.976,30.62,1.745,30.081
E01032789,29.576,34.825,30.345,0.805,30.11
E01032790,29.329,37.113,29.769,0.755,29.567
E01032803,33.783,46.173,34.728,1.803,34.172
E01032834,33.905,44.757,35.048,1.753,34.556
E01033000,24.528,30.622,25.088,0.722,24.879
E01033030,24.65,47.104,26.613,3.911,25.25
E01033081,26.227,43.302,28.527,2.763,27.865
E01033082,26.096,43.289,27.272,1.951,26.711
E01033083,26.771,66.591,29.982,5.243,28.352
E01033084,27.061,64.487,30.932,5.157,29.407
E01033086,27.002,28.802,27.597,0.415,27.455
E01033098,30.664,71.4,33.512,4.926,32.156
E01033099,29.846,58.454,33.417,4.958,31.4
E01033100,31.567,75.795,36.538,6.786,34.048
E01033132,31.591,67.973,33.031,3.598,32.023
E01033133,29.585,70.663,32.358,4.929,31.071
E01033135,27.999,47.17,29.325,2.811,28.615
E01033146,29.031,61.806,32.01,3.861,30.885
E01033148,22.06,36.49,23.175,0.92,23.141
E01033150,21.828,23.915,22.791,0.415,22.773
E01033151,24.958,59.343,27.609,2.968,26.953
E01033208,35.072,91.966,41.775,9.128,38.411
E01033320,25.793,45.91,27.279,3.226,26.462
E01033322,25.734,37.759,27.1,1.871,26.503
E01033324,27.513,35.842,28.708,1.304,28.326
E01033325,27.798,36.911,28.993,1.405,28.683
E01033327,26.617,57.413,29.449,4.555,28.022
E01033341,26.656,59.657,29.646,4.742,28.121
E01033455,29.979,66.398,33.72,6.019,31.359
E01033456,28.537,51.545,30.625,3.19,29.563
E01033457,26.749,46.996,28.018,2.366,27.296
E01033463,24.602,45.75,25.816,2.042,25.314
E01033485,29.702,87.047,32.325,5.151,31.031
E01033486,32.003,52.539,34.123,3.399,32.853
E01033487,31.883,35.024,32.523,0.741,32.244
E01033488,31.871,70.119,33.514,4.594,32.385
E01033489,35.974,74.504,38.463,5.906,36.525
E01033490,36.112,83.113,38.814,6.425,36.968
E01033491,30.698,90.906,35.326,7.518,32.878
E01033493,29.853,32.57,30.078,0.406,29.943
E01033494,29.875,42.203,30.631,1.188,30.385
E01033569,24.115,46.293,26.637,3.411,25.688
E01033570,26.365,99.996,27.639,3.301,26.851
E01033571,26.178,52.496,27.606,2.973,26.824
E01033579,28.746,65.242,31.802,4.536,30.31
