MSOA21CD,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median
E02000682,24.142,34.06,24.649,0.964,24.41
E02000683,23.725,29.25,24.212,0.652,24.086
E02000685,24.412,33.548,24.954,1.017,24.668
E02000686,23.827,34.663,24.493,0.999,24.298
E02000687,24.296,31.354,24.811,0.807,24.587
E02006783,24.026,31.869,24.457,0.795,24.236
E02006784,23.816,36.292,24.378,0.895,24.137
E02006798,25.13,43.896,26.072,1.781,25.556
E02007008,24.958,40.373,26.357,2.238,25.576
E02007009,24.621,40.057,25.747,1.797,25.232
E02000689,24.321,34.991,24.833,0.789,24.655
E02000690,23.906,33.559,24.25,0.495,24.129
E02000691,24.397,33.359,25.042,0.935,24.758
E02000692,24.234,34.101,24.829,0.942,24.554
E02000693,24.474,38.558,25.084,1.258,24.709
E02000694,24.512,38.237,25.081,1.121,24.764
E02000695,24.406,30.754,24.786,0.598,24.655
E02000696,24.437,32.472,24.809,0.745,24.619
E02000697,24.3,36.595,25.265,1.503,24.827
E02000698,24.006,31.877,24.437,0.69,24.251
E02000699,24.168,32.07,24.726,0.824,24.506
E02000700,24.251,36.412,24.872,0.987,24.603
E02000701,24.421,37.512,25.205,1.341,24.771
E02000702,24.243,40.164,24.808,0.939,24.554
E02000703,24.168,33.978,24.789,1.081,24.488
E02000704,23.932,33.949,24.741,1.021,24.434
E02000705,24.297,31.886,24.68,0.627,24.537
E02000706,24.267,34.314,24.835,0.935,24.595
E02000707,24.014,33.486,24.539,0.873,24.336
E02000708,23.686,35.964,24.408,1.141,24.09
E02000709,23.735,31.638,24.228,0.515,24.134
E02000710,23.937,52.027,24.857,1.734,24.391
E02000711,24.154,43.768,25.071,1.736,24.53
E02000712,23.857,30.816,24.434,0.713,24.265
E02000713,23.648,30.347,24.101,0.582,23.971
E02000714,24.381,29.809,24.902,0.609,24.748
E02000715,24.457,37.243,25.194,1.563,24.723
