LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_mean_2001,HHI_mean_2002,HHI_mean_2003,HHI_mean_2004,HHI_mean_2005,HHI_mean_2006,HHI_mean_2007,HHI_mean_2008,HHI_mean_2009,HHI_mean_2010,HHI_mean_2011,HHI_mean_2012
E01002433,Hillingdon 004A,E09000017,Hillingdon,36170,36600,38200,40540,41250,43820,44600,47820,47870,49710,51520,52660
E01002434,Hillingdon 007B,E09000017,Hillingdon,41860,42490,44460,47270,48160,51210,52120,55880,55900,58000,60050,61290
E01002435,Hillingdon 007C,E09000017,Hillingdon,41090,41850,43940,46870,47910,51110,52190,56140,56350,58660,60940,62400
E01002436,Hillingdon 004B,E09000017,Hillingdon,36560,36960,38540,40850,41520,44070,44800,47990,47980,49780,51550,52640
E01002437,Hillingdon 006E,E09000017,Hillingdon,41660,42200,44080,46780,47590,50530,51380,55030,55010,57040,59020,60210
E01002438,Hillingdon 003A,E09000017,Hillingdon,38090,38340,39810,42020,42530,44940,45490,48520,48320,49920,51490,52370
E01002439,Hillingdon 003B,E09000017,Hillingdon,32540,32860,34220,36250,36810,39040,39660,42460,42430,44000,45550,46490
E01002440,Hillingdon 003C,E09000017,Hillingdon,30710,31060,32430,34420,35040,37240,37920,40700,40770,42370,43970,44980
E01002441,Hillingdon 003D,E09000017,Hillingdon,33530,33720,34990,36920,37350,39470,39960,42640,42470,43910,45310,46120
E01002442,Hillingdon 003E,E09000017,Hillingdon,31120,31380,32660,34560,35080,37190,37770,40430,40400,41890,43370,44280
E01002443,Hillingdon 032A,E09000017,Hillingdon,29910,30080,31230,32980,33400,35340,35830,38290,38210,39560,40910,41710
E01002444,Hillingdon 031A,E09000017,Hillingdon,29320,29630,30910,32790,33370,35470,36120,38760,38830,40370,41900,42890
E01002445,Hillingdon 029A,E09000017,Hillingdon,27340,27510,28580,30210,30640,32460,32960,35280,35270,36590,37910,38730
E01002446,Hillingdon 031B,E09000017,Hillingdon,30120,30380,31620,33480,34010,36070,36660,39270,39270,40760,42220,43140
E01002447,Hillingdon 031C,E09000017,Hillingdon,28660,28880,30040,31780,32260,34200,34750,37210,37210,38620,40020,40900
E01002448,Hillingdon 032B,E09000017,Hillingdon,28670,28870,30010,31730,32190,34110,34630,37070,37040,38420,39790,40640
E01002449,Hillingdon 032C,E09000017,Hillingdon,29320,29420,30470,32110,32470,34290,34700,37030,36890,38150,39400,40130
E01002450,Hillingdon 014A,E09000017,Hillingdon,33500,33800,35190,37250,37810,40090,40720,43590,43560,45170,46760,47730
E01002451,Hillingdon 014B,E09000017,Hillingdon,34020,34390,35860,38030,38670,41060,41770,44770,44800,46510,48200,49250
E01002452,Hillingdon 014C,E09000017,Hillingdon,34290,34640,36110,38270,38900,41280,41970,44970,44970,46660,48330,49370
E01002453,Hillingdon 014D,E09000017,Hillingdon,32750,33050,34420,36450,37030,39270,39900,42740,42730,44320,45910,46880
E01002454,Hillingdon 014E,E09000017,Hillingdon,30950,31200,32470,34350,34870,36970,37550,40200,40190,41690,43180,44100
E01002455,Hillingdon 019D,E09000017,Hillingdon,30940,31130,32320,34140,34600,36630,37160,39750,39690,41140,42570,43440
E01002456,Hillingdon 017C,E09000017,Hillingdon,31400,31650,32910,34810,35310,37410,37980,40630,40590,42080,43540,44440
E01002457,Hillingdon 019E,E09000017,Hillingdon,29750,29820,30870,32510,32850,34680,35100,37450,37310,38590,39860,40610
E01002458,Hillingdon 011A,E09000017,Hillingdon,42200,42750,44650,47390,48210,51180,52030,55710,55670,57710,59700,60890
E01002459,Hillingdon 011B,E09000017,Hillingdon,40150,40830,42800,45590,46540,49590,50580,54350,54500,56680,58820,60190
E01002460,Hillingdon 011C,E09000017,Hillingdon,38800,39360,41180,43780,44610,47450,48320,51850,51930,53950,55950,57200
E01002461,Hillingdon 013A,E09000017,Hillingdon,43470,44060,46050,48880,49720,52760,53610,57380,57290,59340,61340,62500
E01002462,Hillingdon 011D,E09000017,Hillingdon,41850,42460,44420,47210,48080,51110,52020,55770,55800,57910,59970,61220
E01002463,Hillingdon 013B,E09000017,Hillingdon,41190,41860,43850,46660,47570,50600,51530,55270,55310,57410,59460,60710
E01002464,Hillingdon 011E,E09000017,Hillingdon,38370,38920,40710,43260,44070,46860,47720,51190,51250,53230,55180,56400
E01002465,Hillingdon 009A,E09000017,Hillingdon,34820,35160,36630,38800,39410,41810,42480,45490,45480,47180,48860,49890
E01002466,Hillingdon 010B,E09000017,Hillingdon,35660,36280,38060,40560,41430,44160,45070,48450,48600,50580,52520,53770
E01002467,Hillingdon 009B,E09000017,Hillingdon,35930,36280,37790,40010,40640,43090,43770,46850,46820,48550,50250,51280
E01002468,Hillingdon 010C,E09000017,Hillingdon,35680,36320,38120,40640,41530,44290,45220,48640,48810,50810,52780,54050
E01002469,Hillingdon 010D,E09000017,Hillingdon,36210,36790,38530,41010,41830,44530,45390,48730,48830,50750,52640,53840
E01002470,Hillingdon 007D,E09000017,Hillingdon,35130,35720,37450,39890,40740,43410,44300,47630,47790,49740,51670,52920
E01002471,Hillingdon 008E,E09000017,Hillingdon,36760,37270,38980,41430,42210,44900,45740,49080,49160,51090,52980,54180
E01002472,Hillingdon 002A,E09000017,Hillingdon,35690,36100,37680,39980,40680,43230,44000,47200,47260,49100,50920,52070
E01002473,Hillingdon 001A,E09000017,Hillingdon,46610,47380,49640,52850,53930,57420,58540,62880,63010,65500,67960,69500
E01002474,Hillingdon 002B,E09000017,Hillingdon,37290,37670,39250,41580,42250,44810,45540,48770,48750,50570,52360,53460
E01002475,Hillingdon 001B,E09000017,Hillingdon,37700,38210,39930,42400,43160,45850,46640,49990,50000,51890,53740,54880
E01002476,Hillingdon 001C,E09000017,Hillingdon,42650,43550,45840,49010,50210,53680,54930,59210,59560,62130,64680,66370
E01002477,Hillingdon 001D,E09000017,Hillingdon,39960,40610,42540,45270,46170,49140,50070,53740,53820,55910,57960,59240
E01002478,Hillingdon 002C,E09000017,Hillingdon,37420,37860,39510,41920,42660,45320,46110,49450,49500,51410,53300,54480
E01002479,Hillingdon 004C,E09000017,Hillingdon,34410,34790,36280,38470,39120,41530,42240,45270,45290,47010,48710,49760
E01002480,Hillingdon 004D,E09000017,Hillingdon,38650,39140,40880,43410,44190,46960,47800,51260,51310,53290,55230,56440
