LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_median_2001,HHI_median_2002,HHI_median_2003,HHI_median_2004,HHI_median_2005,HHI_median_2006,HHI_median_2007,HHI_median_2008,HHI_median_2009,HHI_median_2010,HHI_median_2011,HHI_median_2012
E01001593,Greenwich 014C,E09000011,Greenwich,29100,29890,31120,33320,33730,36020,37400,38870,40850,42220,44540,45620
E01001594,Greenwich 014D,E09000011,Greenwich,21340,22080,23160,24990,25490,27420,28680,30020,31780,33080,35130,36230
E01001595,Greenwich 012D,E09000011,Greenwich,23190,23570,24320,25850,26000,27640,28580,29620,31060,32060,33790,34600
E01001596,Greenwich 032A,E09000011,Greenwich,28860,29380,30330,32230,32400,34400,35520,36740,38440,39580,41610,42490
E01001597,Greenwich 031A,E09000011,Greenwich,27590,27960,28770,30480,30560,32380,33380,34490,36060,37110,39000,39810
E01001598,Greenwich 031B,E09000011,Greenwich,28260,28610,29390,31090,31130,32940,33910,34980,36520,37530,39380,40150
E01001599,Greenwich 032B,E09000011,Greenwich,26640,27100,27970,29720,29880,31730,32770,33910,35500,36570,38460,39300
E01001600,Greenwich 032C,E09000011,Greenwich,27650,28080,28930,30680,30790,32630,33640,34750,36330,37370,39250,40050
E01001601,Greenwich 032D,E09000011,Greenwich,28550,29010,29910,31740,31870,33790,34850,36010,37650,38740,40700,41530
E01001602,Greenwich 031C,E09000011,Greenwich,23800,24130,24830,26320,26420,28020,28930,29940,31360,32330,34040,34820
E01001603,Greenwich 031D,E09000011,Greenwich,22330,22690,23410,24890,25050,26640,27580,28620,30060,31070,32790,33630
E01001604,Greenwich 027A,E09000011,Greenwich,30180,30840,31960,34080,34380,36620,37940,39360,41320,42680,44990,46070
E01001605,Greenwich 023A,E09000011,Greenwich,29670,30200,31180,33140,33320,35390,36550,37820,39600,40790,42910,43840
E01001606,Greenwich 023B,E09000011,Greenwich,29450,30020,31040,33030,33250,35350,36560,37870,39680,40920,43090,44060
E01001607,Greenwich 027B,E09000011,Greenwich,28620,29080,29980,31820,31960,33890,34970,36150,37810,38920,40910,41770
E01001608,Greenwich 027C,E09000011,Greenwich,31700,32380,33550,35770,36070,38410,39780,41270,43310,44710,47130,48250
E01001609,Greenwich 027D,E09000011,Greenwich,28090,28590,29510,31360,31530,33480,34580,35790,37470,38610,40630,41520
E01001610,Greenwich 023C,E09000011,Greenwich,28820,29240,30100,31900,31980,33880,34910,36040,37650,38710,40650,41470
E01001611,Greenwich 023D,E09000011,Greenwich,26990,27460,28330,30100,30260,32130,33200,34360,35980,37090,39040,39910
E01001613,Greenwich 028A,E09000011,Greenwich,26140,26570,27400,29090,29220,30990,31980,33060,34570,35580,37390,38170
E01001614,Greenwich 028B,E09000011,Greenwich,29960,30470,31440,33380,33530,35560,36670,37880,39590,40700,42710,43540
E01001615,Greenwich 028C,E09000011,Greenwich,26420,26880,27740,29480,29630,31450,32470,33590,35140,36180,38040,38840
E01001617,Greenwich 028D,E09000011,Greenwich,26060,26590,27530,29330,29560,31460,32570,33770,35420,36550,38500,39390
E01001618,Greenwich 030C,E09000011,Greenwich,25420,25620,26210,27630,27580,29090,29870,30740,32020,32840,34400,35000
E01001619,Greenwich 030D,E09000011,Greenwich,27190,27480,28200,29800,29810,31520,32430,33430,34890,35830,37590,38300
E01001620,Greenwich 025A,E09000011,Greenwich,20580,21150,22060,23680,24050,25780,26870,28050,29610,30750,32600,33550
E01001621,Greenwich 025B,E09000011,Greenwich,22100,22700,23650,25370,25730,27560,28700,29930,31570,32750,34680,35660
E01001623,Greenwich 025C,E09000011,Greenwich,23350,23890,24790,26490,26780,28570,29650,30820,32400,33510,35380,36270
E01001624,Greenwich 025D,E09000011,Greenwich,23080,23660,24620,26360,26700,28560,29690,30920,32570,33740,35680,36650
E01001625,Greenwich 025E,E09000011,Greenwich,19930,20470,21330,22890,23230,24900,25950,27080,28590,29700,31480,32400
E01001629,Greenwich 009A,E09000011,Greenwich,19540,19980,20740,22180,22450,24000,24970,26020,27430,28460,30140,31010
E01001631,Greenwich 007B,E09000011,Greenwich,20710,21030,21680,23010,23120,24530,25320,26190,27420,28240,29700,30340
E01001632,Greenwich 007C,E09000011,Greenwich,22300,22700,23450,24950,25110,26700,27610,28610,29990,30940,32590,33350
E01001633,Greenwich 009B,E09000011,Greenwich,20280,20720,21480,22950,23210,24780,25750,26800,28220,29250,30940,31790
