,LSOA21NM,OBJECTID,LSOA21CD,SHAPE_Leng,SHAPE_Area,geometry
32,Barking and Dagenham 003B,33,E01000037,2905.6346778282577,233433.35050238133,"POLYGON ((551550 187365, 551478 187264, 551397 186967, 551171 186918, 551073 186921, 551073 186853, 551049 186851, 551008 186814, 550998 186774, 550967 186767, 550964 186740, 550908 186728, 550895 186888, 550783 186821, 550821 186908, 550850 186924, 550858 186999, 550834 187030, 550853 187083, 550893 187079, 550898 187019, 550935 187029, 551000 187142, 551005 187180, 550971 187250, 551066 187237, 551066 187305, 551121 187300, 551130 187363, 551442 187347, 551552 187445, 551550 187365))"
33,Barking and Dagenham 003C,34,E01000038,2305.5589029194716,214045.77177383608,"POLYGON ((550920 187341, 551130 187363, 551121 187300, 551066 187305, 551066 187237, 550971 187250, 551005 187180, 551000 187142, 550935 187029, 550898 187019, 550893 187079, 550853 187083, 550834 187030, 550858 186999, 550850 186924, 550413 186969, 550393 187189, 550591 187315, 550702 187348, 550739 187374, 550920 187341))"
34,Barking and Dagenham 003D,35,E01000039,7425.764041412879,1531807.8661646314,"POLYGON ((551431 186927, 551460 186891, 551528 186854, 551545 186814, 551550 186715, 551526 186603, 551527 186567, 551572 186477, 551554 186433, 551633 186425, 551675 186376, 551705 186366, 551755 186295, 551765 186264, 551754 186227, 551790 186209, 551780 186178, 551824 186155, 551832 186129, 551944 186028, 551909 185897, 551882 185884, 551765 185747, 551704 185520, 551671 185447, 551205 185302, 551198 185503, 550851 185458, 550485 185441, 550425 185385, 550247 185658, 550201 185625, 550239 185744, 550532 185756, 550406 185898, 550396 186021, 550524 186035, 550509 186412, 550682 186429, 550724 186266, 550803 186154, 550925 186227, 551057 186269, 551023 186417, 550960 186442, 550965 186475, 550924 186641, 550966 186637, 551007 186593, 551214 186641, 551236 186655, 551214 186681, 551218 186702, 551146 186704, 551080 186682, 551058 186714, 551037 186718, 551029 186749, 551060 186761, 551059 186779, 551112 186810, 551157 186877, 551178 186885, 551164 186918, 551397 186967, 551431 186927))"
35,Barking and Dagenham 019A,36,E01000040,2286.961839067505,170708.13681870533,"POLYGON ((545806 184158, 545855 184159, 545909 184042, 545947 184050, 545924 183961, 545706 183970, 545477 183932, 545397 183933, 545405 183901, 545434 183900, 545456 183880, 545460 183836, 545424 183828, 545430 183774, 545397 183769, 545374 183834, 545362 183831, 545360 183867, 545302 183881, 545286 183959, 545257 183959, 545250 184014, 545266 184038, 545241 184050, 545244 184075, 545265 184085, 545262 184110, 545306 184164, 545804 184244, 545806 184158))"
36,Barking and Dagenham 017A,37,E01000041,2343.7120405586534,152635.3895273098,"POLYGON ((547256 184393, 547154 184358, 547089 184354, 547025 184301, 546971 184290, 546950 184263, 546958 184230, 546986 184210, 547016 184211, 547028 184104, 546997 184096, 546968 184058, 546931 184088, 546830 184076, 546796 184128, 546753 184095, 546774 184061, 546748 184024, 546725 184030, 546704 184061, 546677 184048, 546655 184110, 546622 184107, 546614 184076, 546582 184081, 546613 184374, 547259 184468, 547256 184393))"
37,Barking and Dagenham 017B,38,E01000042,2610.1097293241173,231229.83683509837,"POLYGON ((546603 184212, 546551 184152, 546530 184151, 546521 184079, 546459 184100, 546447 184137, 546355 184146, 546325 183896, 546117 183860, 546072 183984, 546037 184016, 545965 183941, 545924 183961, 545947 184050, 545909 184042, 545860 184152, 545807 184158, 545797 184200, 545804 184244, 546613 184374, 546603 184212))"
38,Barking and Dagenham 019B,39,E01000043,2336.0752205459667,266364.93161609385,"POLYGON ((546079 183968, 546117 183860, 546053 183781, 546012 183617, 546012 183557, 545803 183488, 545608 183552, 545349 183669, 545350 183688, 545394 183699, 545403 183718, 545386 183767, 545430 183774, 545424 183828, 545460 183836, 545456 183880, 545434 183900, 545405 183901, 545397 183933, 545477 183932, 545706 183970, 545912 183964, 545965 183941, 546037 184016, 546079 183968))"
39,Barking and Dagenham 016D,40,E01000044,2717.3745792353275,170628.74934662672,"POLYGON ((544980 184121, 545306 184164, 545262 184110, 545265 184085, 545244 184075, 545241 184050, 545266 184038, 545250 184014, 545257 183959, 545286 183959, 545302 183881, 545360 183867, 545362 183831, 545374 183834, 545396 183777, 545394 183699, 545350 183688, 545349 183669, 545000 183862, 544452 184293, 544460 184305, 544594 184216, 544694 184171, 544832 184131, 544980 184121))"
40,Barking and Dagenham 017C,41,E01000045,3473.5855291368716,298245.59343229077,"POLYGON ((546602 184209, 546582 184081, 546614 184076, 546622 184107, 546655 184110, 546677 184048, 546704 184061, 546725 184030, 546748 184024, 546774 184061, 546753 184095, 546796 184128, 546830 184076, 546931 184088, 546966 184058, 546890 183962, 546949 183909, 546949 183880, 546980 183877, 546981 183847, 546866 183845, 546853 183829, 546837 183829, 546836 183854, 546695 183843, 546687 183742, 546664 183742, 546659 183649, 546365 183650, 546182 183616, 546012 183557, 546037 183729, 546058 183793, 546096 183846, 546325 183896, 546355 184146, 546447 184137, 546459 184100, 546521 184079, 546530 184151, 546538 184142, 546602 184209))"
41,Barking and Dagenham 017D,42,E01000046,1817.8758435137822,155494.03360344787,"POLYGON ((547259 184378, 547293 183854, 546981 183847, 546980 183877, 546949 183880, 546949 183909, 546890 183962, 546997 184096, 547028 184104, 547014 184156, 547020 184203, 546958 184230, 546950 184263, 546974 184293, 547025 184301, 547089 184354, 547222 184375, 547239 184393, 547259 184378))"
